State,2016,2017,2018,2019,2020,2021,2022
Alabama,500 ,800 ,"1,300 ","2,000 ","2,900 ","4,700 ","8,700 "
Alaska,200 ,400 ,500 ,700 ,900 ,"1,300 ","2,000 "
Arizona,"4,700 ","7,200 ","12,600 ","19,500 ","28,800 ","40,700 ","65,800 "
Arkansas,200 ,300 ,600 ,900 ,"1,300 ","2,400 ","5,100 "
California,"141,500 ","189,700 ","273,500 ","349,700 ","425,300 ","563,100 ","903,600 "
Colorado,"5,300 ","8,000 ","12,500 ","19,200 ","24,700 ","37,000 ","59,900 "
Connecticut,"2,000 ","3,000 ","5,000 ","6,900 ","9,000 ","13,300 ","22,000 "
Delaware,300 ,400 ,800 ,"1,300 ","1,900 ","3,000 ","5,400 "
District of Columbia,600 ,800 ,"1,100 ","1,800 ","2,400 ","3,700 ","5,900 "
Florida,"11,600 ","15,900 ","27,400 ","40,300 ","58,200 ","95,600 ","168,000 "
Georgia,"18,000 ","14,400 ","15,900 ","19,000 ","23,500 ","34,000 ","60,100 "
Hawaii,"4,200 ","5,400 ","6,600 ","8,800 ","10,700 ","14,200 ","19,800 "
Idaho,400 ,700 ,"1,100 ","1,600 ","2,300 ","3,500 ","5,900 "
Illinois,"5,800 ","8,300 ","13,600 ","19,300 ","26,000 ","36,500 ","66,900 "
Indiana,"1,300 ","1,900 ","3,400 ","5,100 ","7,000 ","10,400 ","17,700 "
Iowa,400 ,600 ,"1,100 ","1,600 ","2,300 ","3,700 ","6,200 "
Kansas,600 ,"1,000 ","1,700 ","2,300 ","3,100 ","4,500 ","7,600 "
Kentucky,500 ,700 ,"1,200 ","1,900 ","2,600 ","4,200 ","7,600 "
Louisiana,400 ,600 ,900 ,"1,400 ","2,000 ","3,200 ","5,900 "
Maine,300 ,500 ,800 ,"1,300 ","1,900 ","3,000 ","5,000 "
Maryland,"3,200 ","4,400 ","8,400 ","13,200 ","18,000 ","25,600 ","46,100 "
Massachusetts,"3,600 ","5,600 ","10,300 ","14,100 ","21,000 ","30,500 ","49,400 "
Michigan,"1,600 ","2,500 ","4,200 ","6,600 ","10,600 ","17,500 ","33,100 "
Minnesota,"1,600 ","2,300 ","4,900 ","7,700 ","10,400 ","15,000 ","24,300 "
Mississippi,100 ,200 ,300 ,500 ,800 ,"1,300 ","2,400 "
Missouri,"1,400 ","2,100 ","3,500 ","4,900 ","6,700 ","10,000 ","17,900 "
Montana,200 ,300 ,500 ,700 ,900 ,"1,600 ","3,300 "
Nebraska,300 ,500 ,900 ,"1,300 ","1,800 ","2,700 ","4,600 "
Nevada,"2,000 ","3,100 ","5,100 ","7,900 ","11,000 ","17,400 ","32,900 "
New Hampshire,400 ,600 ,"1,200 ","1,900 ","2,700 ","4,000 ","7,000 "
New Jersey,"4,200 ","6,900 ","13,400 ","20,200 ","30,400 ","47,800 ","87,000 "
New Mexico,500 ,700 ,"1,300 ","1,900 ","2,600 ","4,200 ","7,100 "
New York,"6,100 ","9,400 ","15,500 ","23,000 ","32,600 ","51,900 ","84,700 "
North Carolina,"2,900 ","4,400 ","7,300 ","11,600 ","16,200 ","25,200 ","45,600 "
North Dakota,0 ,100 ,100 ,200 ,200 ,400 ,600 
Ohio,"2,600 ","3,700 ","6,400 ","10,200 ","14,500 ","21,200 ","34,100 "
Oklahoma,600 ,"1,200 ","3,700 ","3,400 ","3,400 ","7,100 ","16,300 "
Oregon,"7,700 ","10,000 ","13,800 ","18,800 ","22,800 ","30,300 ","47,000 "
Pennsylvania,"3,200 ","4,400 ","8,000 ","12,000 ","17,500 ","26,800 ","47,400 "
Rhode Island,300 ,400 ,700 ,"1,100 ","1,600 ","2,500 ","4,300 "
South Carolina,800 ,"1,200 ","2,000 ","3,000 ","4,400 ","7,400 ","13,500 "
South Dakota,100 ,100 ,200 ,300 ,400 ,700 ,"1,200 "
Tennessee,"2,600 ","2,900 ","3,900 ","5,700 ","7,800 ","12,200 ","22,000 "
Texas,"11,900 ","16,100 ","24,500 ","38,400 ","52,200 ","80,900 ","149,000 "
Utah,"2,500 ","3,600 ","5,600 ","8,000 ","11,200 ","16,500 ","28,000 "
Vermont,300 ,700 ,"1,100 ","1,700 ","2,200 ","3,400 ","5,300 "
Virginia,"3,100 ","5,100 ","9,900 ","15,000 ","20,500 ","30,700 ","56,600 "
Washington,"14,900 ","21,000 ","30,200 ","40,400 ","50,500 ","66,800 ","104,100 "
West Virginia,100 ,100 ,200 ,400 ,600 ,"1,000 ","1,900 "
Wisconsin,"2,600 ","2,800 ","3,700 ","4,700 ","6,300 ","9,300 ","15,700 "
Wyoming,100 ,100 ,200 ,200 ,300 ,500 ,800 
United States,"280,300 ","377,100 ","572,600 ","783,600 ","1,018,900 ","1,454,400 ","2,442,300 "
